iter	Passed	Remaining
402	11421	16919
403	11452	16895
404	11483	16870
405	11514	16846
406	11547	16824
407	11560	16773
408	11589	16747
409	11621	16723
410	11652	16698
411	11683	16675
412	11713	16648
413	11745	16625
414	11775	16599
415	11796	16560
416	11827	16536
417	11857	16510
418	11887	16483
419	11921	16462
420	11953	16439
421	11984	16414
422	12016	16391
423	12051	16371
424	12083	16347
425	12115	16324
426	12146	16300
427	12178	16275
428	12209	16251
429	12240	16225
430	12271	16201
431	12303	16176
432	12335	16152
433	12368	16130
434	12399	16105
435	12431	16081
436	12464	16058
437	12496	16034
438	12526	16007
439	12558	15982
440	12588	15957
441	12619	15931
442	12651	15907
443	12683	15882
444	12713	15856
445	12746	15833
446	12778	15809
447	12811	15785
448	12843	15761
449	12876	15737
450	12906	15711
451	12937	15685
452	13014	15714
453	13050	15694
454	13082	15670
455	13114	15645
456	13146	15621
457	13178	15595
458	13211	15572
459	13242	15546
460	13274	15520
461	13305	15494
462	13337	15468
463	13368	15442
464	13398	15415
465	13431	15390
466	13464	15367
467	13497	15343
468	13530	15319
469	13561	15292
470	13632	15311
471	13668	15290
472	13700	15264
473	13731	15237
474	13761	15210
475	13794	15185
476	13827	15160
477	13858	15133
478	13890	15108
479	13922	15082
480	13954	15056
481	13988	15033
482	14024	15011
483	14058	14987
484	14089	14960
485	14129	14943
486	14161	14917
487	14193	14891
488	14225	14865
489	14258	14840
490	14291	14815
491	14322	14788
492	14354	14762
493	14386	14736
494	14420	14711
495	14452	14685
496	14485	14660
497	14516	14633
498	14549	14607
499	14581	14581
500	14612	14554
501	14643	14526
502	14675	14500
503	14708	14475
504	14740	14449
505	14771	14421
506	14804	14395
507	14836	14369
508	14868	14342
509	14901	14316
510	14934	14291
511	14965	14264
512	14996	14236
513	15027	14209
514	15059	14182
515	15092	14156
516	15123	14128
517	15155	14102
518	15189	14077
519	15222	14051
520	15254	14024
521	15284	13996
522	15315	13968
523	15361	13954
524	15393	13927
525	15423	13898
526	15457	13873
527	15490	13847
528	15523	13821
529	15558	13796
530	15590	13770
531	15623	13743
532	15657	13718
